Date,A,B,C,D,E
2020/5/16,33975,30028,13.14,335.728,242.862
2020/5/17,32935,28694,14.78,317.524,229.694
2020/5/18,36888,32803,12.45,352.064,254.679
2020/5/19,35962,31336,14.76,343.301,248.34
2020/5/20,36458,31507,15.71,339.716,245.746
2020/5/21,35554,31571,12.62,340.467,246.29
2020/5/22,34567,30892,11.9,335.691,242.835
2020/5/23,30959,26898,15.1,304.958,220.603
2020/5/24,31194,26905,15.94,296.73,214.651
2020/5/25,36380,32438,12.15,342.454,247.728
2020/5/26,36459,32896,10.83,355.735,257.335
2020/5/27,36376,31444,15.69,345.154,249.681
2020/5/28,36780,31519,16.69,343.251,248.304
2020/5/29,36642,32544,12.59,346.193,250.433
2020/5/30,32699,28513,14.68,320.599,231.918
2020/5/31,32206,28776,11.92,314.929,227.816
2020/6/1,37293,33660,10.79,338.534,277.306
2020/6/2,38452,34381,11.84,350.639,287.222
2020/6/3,38653,34490,12.07,353.157,289.285
2020/6/4,38689,34935,10.75,356.543,292.058
2020/6/5,38543,34861,10.56,356.574,292.084
2020/6/6,34992,30752,13.79,328.179,268.824
2020/6/7,32656,28121,16.13,302.045,247.417
2020/6/8,36941,32361,14.15,326.738,267.643
2020/6/9,36875,32360,13.95,331.734,271.736
2020/6/10,38137,33770,12.93,341.802,279.983
2020/6/11,38206,34220,11.65,351.717,288.105
2020/6/12,38596,35010,10.24,356.597,292.102
2020/6/13,35316,31552,11.93,332.39,272.274
2020/6/14,34393,29821,15.33,315.405,258.36
2020/6/15,40129,35096,14.34,352.089,288.41
2020/6/16,39696,35674,11.27,363.303,297.595
2020/6/17,40135,36160,10.99,366.664,300.348
2020/6/18,40155,35964,11.65,368.138,301.556
2020/6/19,40202,36340,10.63,370.027,303.103
2020/6/20,38988,35313,10.41,361.175,295.853
2020/6/21,35108,31624,11.02,329.819,270.167
2020/6/22,40476,36627,10.51,365.985,299.792
2020/6/23,40615,36847,10.23,375.578,307.651
2020/6/24,41256,37170,10.99,375.274,307.401
2020/6/25,35231,31852,10.61,339.873,278.404
2020/6/26,34259,30352,12.87,322.616,264.267
2020/6/27,34086,30466,11.88,320.572,262.593
2020/6/28,34519,31107,10.97,320.877,262.842
2020/6/29,40364,36351,11.04,363.474,297.736
2020/6/30,41328,36682,12.67,372.543,305.165
2020/7/1,40360,36331,11.09,361.364,332.638
2020/7/2,40305,35847,12.44,353.215,325.136
2020/7/3,39929,35798,11.54,351.354,323.423
2020/7/4,36211,31924,13.43,331.808,305.432
2020/7/5,34694,31219,11.13,319.139,293.769
2020/7/6,40904,35888,13.98,357.069,328.685
2020/7/7,40936,36326,12.69,366.548,337.41
2020/7/8,41421,37106,11.63,369.874,340.471
2020/7/9,41053,36686,11.9,369.542,340.166
2020/7/10,41209,36830,11.89,367.622,338.398
2020/7/11,36606,32935,11.15,342.56,315.329
2020/7/12,35741,32223,10.92,329.077,302.918
2020/7/13,41502,37528,10.59,370.415,340.97
2020/7/14,41714,37790,10.38,379.07,348.937
2020/7/15,40965,36755,11.45,375.413,345.57
2020/7/16,40988,35903,14.16,366.565,337.426
2020/7/17,41138,36882,11.54,366.651,337.505
2020/7/18,37514,33193,13.02,345.556,318.086
2020/7/19,35959,31831,12.97,330.742,304.451
2020/7/20,41789,37521,11.38,359.803,331.201
2020/7/21,41958,36825,13.94,365.277,336.239
2020/7/22,41633,37367,11.42,372.381,342.779
2020/7/23,41868,38020,10.12,373.753,344.043
2020/7/24,41686,37557,10.99,372.69,343.063
2020/7/25,37535,32838,14.3,343.632,316.316
2020/7/26,35266,30548,15.44,320.568,295.085
2020/7/27,41325,36760,12.42,354.83,326.623
2020/7/28,40863,36333,12.47,359.139,330.59
2020/7/29,41198,36353,13.33,359.515,330.936
2020/7/30,41052,35592,15.34,359.978,331.362
2020/7/31,40438,36300,11.4,362.077,333.295
2020/8/1,36803,32682,12.61,348.252,320.252
2020/8/2,34564,30754,12.39,330.027,303.491
2020/8/3,38616,33718,14.53,349.469,321.371
2020/8/4,38389,34036,12.79,353.016,324.632
2020/8/5,39761,35374,12.4,362.345,333.211
2020/8/6,40446,36593,10.53,372.583,342.627
2020/8/7,40542,36682,10.52,375.397,345.214
2020/8/8,36232,32361,11.96,347.857,319.888
2020/8/9,34353,31166,10.23,330.873,304.27
2020/8/10,40137,36411,10.23,368.576,338.941
2020/8/11,39551,35167,12.47,364.262,334.975
2020/8/12,40807,36537,11.69,366.707,337.222
2020/8/13,40952,36301,12.81,369.798,340.065
2020/8/14,40963,35941,13.97,367.91,338.329
2020/8/15,36145,31204,15.83,334.237,307.364
2020/8/16,34343,29721,15.55,316.353,290.918
2020/8/17,40123,35538,12.9,359.302,330.413
2020/8/18,40515,36279,11.68,369.635,339.915
2020/8/19,40865,36996,10.46,375.789,345.575
2020/8/20,41202,36818,11.91,377.483,347.132
2020/8/21,40685,36823,10.49,375.7,345.493
2020/8/22,34383,30985,10.97,338.211,311.018
2020/8/23,33542,30245,10.9,318.72,293.093
2020/8/24,40178,36483,10.13,366.58,337.105
2020/8/25,40885,37073,10.28,380.91,350.284
2020/8/26,39623,35827,10.6,372.356,342.418
2020/8/27,39652,35107,12.95,362.279,333.15
2020/8/28,39394,35122,12.16,359.133,330.257
2020/8/29,35312,31138,13.4,336.531,309.473
2020/8/30,34763,30677,13.32,326.306,300.069
2020/8/31,39916,35197,13.41,357.894,329.119
2020/9/1,39898,35420,12.64,383.771,369.066
2020/9/2,40360,36492,10.6,394.351,379.24
2020/9/3,40285,35474,13.56,387.89,373.026
2020/9/4,40850,35980,13.54,385.407,370.639
2020/9/5,34680,30758,12.75,349.952,336.542
2020/9/6,31794,27921,13.87,318.214,306.021
2020/9/7,38299,33937,12.85,358.541,344.803
2020/9/8,39289,35134,11.83,381.313,366.701
