Date,A,B
2021/1/1,2767,10.76
2021/1/2,2936,11.52
2021/1/3,3037,11.92
2021/1/4,3032,10.2
2021/1/5,3067,10.21
2021/1/6,3102,10.23
2021/1/7,3102,10.17
2021/1/8,3105,10.21
2021/1/9,3202,11.41
2021/1/10,2906,10.66
2021/1/11,3093,10.08
2021/1/12,3116,10.17
2021/1/13,3114,10.38
2021/1/14,3132,10.43
2021/1/15,3310,11.2
2021/1/16,3046,11.23
2021/1/17,3035,11.36
2021/1/18,3157,10.55
2021/1/19,3159,10.53
2021/1/20,3149,10.5
2021/1/21,3074,10.15
2021/1/22,3097,10.29
2021/1/23,3203,11.77
2021/1/24,3073,11.95
2021/1/25,3269,10.97
2021/1/26,3219,10.75
2021/1/27,3064,10.36
2021/1/28,3286,11.12
2021/1/29,3203,10.94
2021/1/30,3447,12.93
2021/1/31,2906,11.41
2021/2/1,2938,10.12
2021/2/2,3045,10.24
2021/2/3,3006,10.15
2021/2/4,3132,10.56
2021/2/5,3060,10.45
2021/2/6,3066,11.49
2021/2/7,2763,10.66
2021/2/8,3047,10.92
2021/2/9,2880,11.03
2021/2/10,2888,11.85
2021/2/11,2833,12.8
2021/2/12,2992,13.65
2021/2/13,3024,13.77
2021/2/14,2911,12.97
2021/2/15,2645,11.27
2021/2/16,3002,12.15
2021/2/17,2824,10.13
2021/2/18,2907,10.19
2021/2/19,2885,10.08
2021/2/20,2975,10.86
2021/2/21,3139,12.43
2021/2/22,2989,10.18
2021/2/23,3109,10.39
2021/2/24,3049,10.15
2021/2/25,3029,10.07
2021/2/26,3041,10.23
2021/2/27,2758,10.42
2021/2/28,2672,10.68
2021/3/1,2832,10.66
2021/3/2,3221,10.95
2021/3/3,3075,10.36
2021/3/4,3088,10.37
2021/3/5,3268,10.94
2021/3/6,2805,10.42
2021/3/7,2752,10.67
2021/3/8,3110,10.45
2021/3/9,3048,10.18
2021/3/10,3055,10.22
2021/3/11,3077,10.24
2021/3/12,3272,10.93
2021/3/13,3075,11.48
2021/3/14,2933,11.44
2021/3/15,3074,10.22
2021/3/16,3087,10.06
2021/3/17,3183,10.36
2021/3/18,3214,10.46
2021/3/19,3137,10.16
2021/3/20,2839,10.23
2021/3/21,3186,12.4
,,
