Date,A,B
2019/1/2,1899,6.75
2019/1/3,1891,6.65
2019/1/4,1811,6.36
2019/1/5,1903,7.3
2019/1/6,2333,9.48
2019/1/7,1800,6.31
2019/1/8,1843,6.42
2019/1/9,1954,6.82
2019/1/10,1847,6.37
2019/1/11,1884,6.54
2019/1/12,2497,9.64
2019/1/13,2398,9.74
2019/1/14,1745,6.16
2019/1/15,1844,6.38
2019/1/16,1849,6.45
2019/1/17,1933,6.81
2019/1/18,1935,6.97
2019/1/19,1954,7.38
2019/1/20,2599,10.59
2019/1/21,1915,6.9
2019/1/22,1921,6.83
2019/1/23,1938,6.96
2019/1/24,1872,6.72
2019/1/25,1906,6.98
2019/1/26,2535,10.03
2019/1/27,2092,8.57
2019/1/28,1806,6.55
2019/1/29,1832,6.58
2019/1/30,1810,6.52
2019/1/31,1890,6.95
2019/2/1,2148,8.69
2019/2/2,2241,9.58
2019/2/3,2038,8.89
2019/2/4,2563,12.68
2019/2/5,2333,11.67
2019/2/6,2322,11.65
2019/2/7,2107,10.06
2019/2/8,3115,14.43
2019/2/9,3136,13.98
2019/2/10,3023,13.01
2019/2/11,2275,8.53
2019/2/12,1860,6.7
2019/2/13,1915,6.91
2019/2/14,1943,6.88
2019/2/15,1959,6.93
2019/2/16,2426,9.54
2019/2/17,2673,10.98
2019/2/18,1762,6.15
2019/2/19,1891,6.55
2019/2/20,1838,6.32
2019/2/21,1813,6.27
2019/2/22,1870,6.58
2019/2/23,1729,6.47
2019/2/24,1770,7.17
2019/2/25,1754,6.24
2019/2/26,1818,6.4
2019/2/27,1903,6.79
2019/2/28,2430,9.54
2019/3/1,2371,9.6
2019/3/2,1833,7.41
2019/3/3,2224,9.23
2019/3/4,1895,6.84
2019/3/5,1954,6.92
2019/3/6,1922,6.86
2019/3/7,1868,6.64
2019/3/8,1816,6.5
2019/3/9,2191,8.47
2019/3/10,1823,7.35
2019/3/11,1794,6.47
2019/3/12,1879,6.73
2019/3/13,1923,6.83
2019/3/14,1780,6.26
2019/3/15,1928,6.95
2019/3/16,2518,9.95
2019/3/17,2290,9.28
2019/3/18,1755,6.19
2019/3/19,1805,6.25
2019/3/20,1844,6.22
2019/3/21,1967,6.48
2019/3/22,2341,7.9
2019/3/23,2084,8.25
2019/3/24,1859,7.49
2019/3/25,1853,6.49
2019/3/26,1887,6.56
2019/3/27,1933,6.63
2019/3/28,1892,6.29
2019/3/29,2055,6.92
2019/3/30,2155,8.35
2019/3/31,2297,9.39
2019/4/1,193,6.93
2019/4/2,191.5,6.75
2019/4/3,190.5,6.69
2019/4/4,234,9.12
2019/4/5,187.2,7.63
2019/4/6,168.3,6.74
2019/4/7,177.8,7.04
2019/4/8,196.9,6.48
2019/4/9,196.4,6.23
2019/4/10,215.4,6.79
2019/4/11,207.9,6.81
2019/4/12,201.8,6.95
2019/4/13,176,6.66
2019/4/14,252.8,9.9
2019/4/15,198.6,6.91
2019/4/16,187.7,6.47
2019/4/17,205,6.93
2019/4/18,200.3,6.6
2019/4/19,192,6.24
2019/4/20,187.7,6.98
2019/4/21,229.8,8.74
2019/4/22,199.3,6.24
2019/4/23,202.6,6.11
2019/4/24,200.3,6.02
2019/4/25,229,6.91
2019/4/26,225.2,6.89
2019/4/27,199.3,7.28
2019/4/28,174,6.46
2019/4/29,221.1,6.73
