Date,A,B,C,D,E
2019/1/2,30047,28148,6.75,323.08,221.864
2019/1/3,30343,28452,6.65,336.597,231.146
2019/1/4,30301,28490,6.36,339.02,232.81
2019/1/5,27957,26054,7.3,315.825,216.882
2019/1/6,26950,24617,9.48,295.08,202.637
2019/1/7,30336,28536,6.31,330.919,227.247
2019/1/8,30562,28719,6.42,340.713,233.974
2019/1/9,30595,28641,6.82,339.42,233.086
2019/1/10,30853,29006,6.37,345.741,237.426
2019/1/11,30682,28798,6.54,345.312,237.131
2019/1/12,28402,25905,9.64,316.377,217.261
2019/1/13,27027,24629,9.74,295.069,202.629
2019/1/14,30093,28348,6.16,330.529,226.979
2019/1/15,30731,28887,6.38,341.979,234.843
2019/1/16,30498,28649,6.45,338.771,232.64
2019/1/17,30328,28395,6.81,337.237,231.587
2019/1/18,29691,27756,6.97,333.578,229.073
2019/1/19,28431,26477,7.38,323.444,222.114
2019/1/20,27138,24539,10.59,293.809,201.764
2019/1/21,29654,27739,6.9,324.539,222.866
2019/1/22,30061,28140,6.83,334.246,229.532
2019/1/23,29776,27838,6.96,333.761,229.199
2019/1/24,29735,27863,6.72,334.577,229.76
2019/1/25,29202,27296,6.98,332.047,228.022
2019/1/26,27817,25282,10.03,307.745,211.333
2019/1/27,26506,24414,8.57,291.033,199.857
2019/1/28,29363,27557,6.55,322.911,221.749
2019/1/29,29690,27858,6.58,331.844,227.883
2019/1/30,29570,27760,6.52,331.523,227.663
2019/1/31,29071,27181,6.95,326.577,224.266
2019/2/1,26857,24709,8.69,301.346,228.434
2019/2/2,25623,23382,9.58,278.967,211.47
2019/2/3,24953,22915,8.89,267.929,203.103
2019/2/4,22777,20214,12.68,246.263,186.679
2019/2/5,22325,19992,11.67,235.887,178.814
2019/2/6,22258,19936,11.65,237.257,179.852
2019/2/7,23045,20938,10.06,243.67,184.713
2019/2/8,24696,21581,14.43,253.768,192.369
2019/2/9,25572,22436,13.98,262.905,199.294
2019/2/10,26259,23236,13.01,268.156,203.276
2019/2/11,28942,26667,8.53,308.329,233.729
2019/2/12,29628,27768,6.7,327.839,248.517
2019/2/13,29614,27699,6.91,333.045,252.465
2019/2/14,30193,28250,6.88,335.846,254.587
2019/2/15,30221,28262,6.93,337.226,255.633
2019/2/16,27858,25432,9.54,311.235,235.932
2019/2/17,27016,24343,10.98,289.13,219.174
2019/2/18,30407,28645,6.15,330.202,250.309
2019/2/19,30767,28876,6.55,342.868,259.911
2019/2/20,30916,29078,6.32,346.477,262.647
2019/2/21,30725,28912,6.27,346.271,262.49
2019/2/22,30290,28420,6.58,340.97,258.472
2019/2/23,28452,26723,6.47,324.355,245.877
2019/2/24,26464,24694,7.17,294.814,223.484
2019/2/25,29838,28084,6.24,326.311,247.36
